rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc
0.9,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
1.0,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,0,15,0,0.85,16.0,0.63662,0.603355,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
0.1,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.085,5.059644,0.959381,1.907975,REPSPE,0.884615,0.115385
0.2,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.17,7.155418,0.919759,1.349142,DUIREEBCESANELCRRT,0.807692,0.192308
0.3,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.255,8.763561,0.881116,1.10157,CGTETAIRELESAWHSKT,0.769231,0.230769
0.4,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.425,11.313708,0.8067,0.853272,AHURRORIEAGEESRESCUKEY,0.807692,0.192308
0.6,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.595,13.38656,0.735998,0.721147,TUNKYPORDAAILAWHOSTOET,0.653846,0.346154
0.8,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.68,14.310835,0.701998,0.674571,NIRKUFAZTAGLPNGEESOURES,0.615385,0.384615
0.9,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.85,16.0,0.63662,0.603355,NIRKPPDZICRASEPMWHOEIOUKET,0.423077,0.576923
0.1,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.17,7.155418,0.919759,1.349142,WURKYFDZICUGLSMWWHGSSOURBT,0.384615,0.615385
0.3,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.255,8.763561,0.881116,1.10157,VINKYEDZICRAGLEMWHGESOUNBT,0.192308,0.807692
0.4,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.34,10.119289,0.843436,0.953987,NINKYFDZICRACLEMWHSESOUNBT,0.230769,0.769231
0.5,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.425,11.313708,0.8067,0.853272,VINKYFDZICRAQLEMWHGESOUXET,0.115385,0.884615
