rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc,preview_relpath
1.0,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.85,16.0,0.63662,0.603355,CBAGJWPD6YXT0RNZL49E3HSUB75KFVMQ2,0.030303,0.969697,point_previews/task000002_mu000064_rho100_n0.png
1.0,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.85,16.0,0.63662,0.603355,CBAGJWPD6YXTURNZL49ESHSUBTSKFVMQG2,0.181818,0.818182,point_previews/task000002_mu000064_rho100_n1.png
0.1,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.085,5.059644,0.959381,1.907975,CBAGJWPDSYXTURNZLAPESHSUBTSKEYMQ2,0.30303,0.69697,point_previews/task000003_mu000256_rho010_n0.png
0.1,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.085,5.059644,0.959381,1.907975,,1.0,0.0,point_previews/task000003_mu000256_rho010_n1.png
0.2,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.17,7.155418,0.919759,1.349142,CBAGJWPD6YXTRNZL49E3HSU875KFVYMG2,0.090909,0.909091,point_previews/task000003_mu000256_rho020_n0.png
0.2,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.17,7.155418,0.919759,1.349142,CBAGJWPD6YXTRNZLASE3HSU875KFYMQ2,0.121212,0.878788,point_previews/task000003_mu000256_rho020_n1.png
0.3,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.255,8.763561,0.881116,1.10157,CBAGJWPD46YXTURNZL49E3HSU875KFVMG2,0.090909,0.909091,point_previews/task000003_mu000256_rho030_n0.png
0.3,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.255,8.763561,0.881116,1.10157,CBAGJWPD6YXTRNZL49ESHSU875KFVMQ2,0.060606,0.939394,point_previews/task000003_mu000256_rho030_n1.png
0.4,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.34,10.119289,0.843436,0.953987,CBAGJWPD6YXTRNZL49E3HSU875KFVMQ2,0.030303,0.969697,point_previews/task000003_mu000256_rho040_n0.png
0.4,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.34,10.119289,0.843436,0.953987,CBAGJWPD6YXT0RNZL49E3HSUSTSKEVMG2,0.151515,0.848485,point_previews/task000003_mu000256_rho040_n1.png
0.5,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.425,11.313708,0.8067,0.853272,CBAGJWPD6YXT0RNZL49ESHSU87TSKFVMG2,0.121212,0.878788,point_previews/task000003_mu000256_rho050_n0.png
0.5,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.425,11.313708,0.8067,0.853272,CBAGJWPD6YXT0RNZL49E3HSUS75KFVMG2,0.060606,0.939394,point_previews/task000003_mu000256_rho050_n1.png
0.6,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.51,12.393547,0.770893,0.778927,CBAGJWPD6YXT0RNZL49E3SHSUSTSKFVMQ2,0.121212,0.878788,point_previews/task000003_mu000256_rho060_n0.png
0.6,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.51,12.393547,0.770893,0.778927,CBAGJWPD6YXT0RNZL49E3HSU87SKFVMG2,0.060606,0.939394,point_previews/task000003_mu000256_rho060_n1.png
0.7,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.595,13.38656,0.735998,0.721147,CBAGJWPD6YXT0RNZL49E3HSU875SKFVMG2,0.060606,0.939394,point_previews/task000003_mu000256_rho070_n0.png
