base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
6,0.2,8,50,0.0003238313644799998,0.12712991959182585,-0.0030303,0.06685467432049909,0.36,0.22
6,0.3,8,50,0.0003388235572799999,0.12958710270605206,-0.009090899999999999,0.06878888611178408,0.42,0.2
6,0.4,8,50,-0.0004512650032799998,-0.12663584311498163,0.009090899999999999,0.08961134564607319,0.48,0.14
6,0.5,8,50,-0.0006341697554399999,-0.2578484565327978,0.01272726,0.07866163469811698,0.42,0.2
6,0.6,8,50,-6.259240493999993e-05,-0.019409108556402446,0.027878760000000002,0.08141282722568968,0.52,0.22
6,0.7,8,50,0.0011371578238799996,0.2790692999857377,0.0030303000000000014,0.07677112604684133,0.4,0.16
6,0.8,8,50,0.0012668402916,0.18245218618475498,0.022424219999999998,0.1068851052224771,0.54,0.16
6,0.9,8,50,0.0014085165135599997,0.23459618682918876,0.04909086,0.09793304109941649,0.56,0.18
6,1.0,8,50,0.0013920251014800003,0.16312472521619006,0.0090909,0.11953841960850912,0.44,0.16
7,0.1,8,50,-0.0003680583332399999,-0.12511165889606513,-0.003636360000000001,0.08136677663813408,0.38,0.24
7,0.2,8,50,0.00014992192800000002,0.05218855551656445,0.0036363599999999995,0.0738827273351492,0.38,0.22
7,0.3,8,50,0.0001398021978600002,0.05607708422532134,0.0036363600000000012,0.06862250183780827,0.36,0.28
7,0.4,8,50,-0.00020614265100000017,-0.07624012752299843,0.0030303000000000014,0.07652663139391411,0.44,0.24
7,0.5,8,50,0.00044676734544000005,0.15979993229692147,0.01999998,0.06861430859536516,0.42,0.3
7,0.6,8,50,0.00084818330766,0.19464647147190697,0.01575756,0.08444102614061486,0.56,0.12
7,0.7,8,50,0.0022405832139600003,0.37270457786916344,0.053939339999999995,0.08835615199735669,0.66,0.14
7,0.8,8,50,-0.0019264967748000002,-0.22831036134486912,0.015757560000000004,0.14412904753615768,0.52,0.1
7,0.9,8,50,0.0012555961470000002,0.12252020670585552,0.04606056000000001,0.13596644049794052,0.64,0.06
7,1.0,8,50,-0.0003073399523999995,-0.015589239796189614,0.0006060600000000016,0.20039950513456864,0.38,0.16
8,0.1,8,50,0.00022863094020000014,0.06805615909527915,0.006666659999999998,0.0791840251173177,0.42,0.2
8,0.2,8,50,0.0003167100729,0.1252600887147083,-0.0024242400000000007,0.06701985498999531,0.4,0.26
8,0.3,8,50,-5.247267479999982e-06,-0.0019774110709893807,-0.0151515,0.07327399979870078,0.34,0.16
8,0.4,8,50,-0.00077659558704,-0.26650033712082677,0.00545454,0.08886373136763952,0.48,0.08
8,0.5,8,50,-0.00039804271884000036,-0.1072011939866534,0.04303026,0.09123617839092121,0.66,0.06
8,0.6,8,50,-0.00018552838590000015,-0.0311462020198323,0.04121207999999999,0.11268046894790597,0.66,0.12
8,0.7,8,50,-0.0002567413016999998,-0.05521079035208012,0.03757572,0.10070113807658779,0.7,0.04
8,0.8,8,50,-0.00048724626600000007,-0.044327312673853606,0.03939389999999999,0.15160773590585674,0.56,0.08
8,0.9,8,50,0.0038957257765028586,0.19573083304478217,-0.0030303400000000077,0.17893493966490176,0.4,0.16
8,1.0,8,50,9.750181962449128e-06,0.00035020343006185976,-0.016363620000000002,0.2359372672818003,0.38,0.1
10,0.1,8,50,0.00028859971139999984,0.09762459119788024,0.019393920000000002,0.07340431930288573,0.48,0.18
10,0.2,8,50,7.683498810000007e-05,0.03033914834958439,-0.0036363599999999995,0.0702419436695768,0.4,0.16
10,0.3,8,50,-0.00019190006784000009,-0.06967712075462168,0.014545440000000003,0.07773900512406884,0.58,0.08
10,0.4,8,50,-0.00099435718746,-0.2691663372879436,0.007272719999999998,0.09901209457394586,0.48,0.14
10,0.5,8,50,-4.647579768000008e-05,-0.0074985426172807105,0.042424199999999995,0.11305239653364275,0.62,0.14
10,0.6,8,50,0.002842519754880001,0.2368707907650234,0.0515151,0.13569188178553646,0.62,0.2
10,0.7,8,50,-0.0021622490065799993,-0.11307223685080135,0.07999992,0.20713801334936088,0.64,0.04
10,0.8,8,50,-0.0008924075553346935,-0.035602232600246024,0.07515144,0.23031259130645082,0.54,0.18
10,0.9,8,50,-0.007579342389742858,-0.1896116294592679,0.053939379999999995,0.30886709856591416,0.54,0.14
10,1.0,8,50,-0.0015014563711212238,-0.02747415632212806,-0.03939392,0.33516943467061855,0.34,0.2
11,0.1,8,50,0.0006746486759999999,0.2188492307706223,-0.007272720000000003,0.069415349641992,0.36,0.2
11,0.2,8,50,1.68662169e-05,0.008564513721655625,-0.0048484800000000005,0.06284062048961643,0.28,0.28
11,0.3,8,50,0.00024662157156,0.08925855197698757,0.014545439999999998,0.0711959295583673,0.46,0.18
11,0.4,8,50,0.00017278502202000014,0.035698877796872634,0.0484848,0.09757070476326386,0.64,0.08
11,0.5,8,50,-0.0009917335537199998,-0.1379509890220402,0.04303026,0.12843202608142565,0.66,0.02
11,0.6,8,50,-0.00176083304436,-0.1487434236300228,0.031515119999999994,0.17064827949534095,0.66,0.04
11,0.7,8,50,9.557987968285742e-05,0.003653729895765904,0.008484919999999991,0.2340096402301549,0.58,0.04
11,0.8,8,50,0.00367684364534449,0.09888035430551326,0.07454548,0.2593943064549303,0.5,0.16
11,0.9,8,50,0.0030763875234799992,0.05997210585627369,-0.024848460000000003,0.3107061142756838,0.34,0.26
11,1.0,8,50,4.160887616530494e-05,0.0006741060342682624,0.02303032,0.35124003920439323,0.5,0.14
13,0.1,8,50,0.00019115045820000012,0.07044736501122864,0.005454539999999999,0.07131428049542392,0.4,0.26
13,0.2,8,50,4.2352944659999954e-05,0.016855617405308724,0.0024242400000000007,0.07029528253645476,0.4,0.22
13,0.3,8,50,-8.320667003999991e-05,-0.026762962698702097,0.005454540000000001,0.08476221796637934,0.46,0.16
13,0.4,8,50,0.0006888912591600004,0.13093498300574716,0.05999994000000001,0.09861952278418305,0.7,0.1
13,0.5,8,50,0.0028387717932599984,0.24877508689860664,0.05393936,0.1373446785132521,0.66,0.12
13,0.6,8,50,-0.0014977200607199997,-0.050163082839122373,0.02787876,0.25211287272743527,0.6,0.1
13,0.7,8,50,-0.001665617555149388,-0.03750740040621162,-0.0363635,0.3050026953012557,0.34,0.22
13,0.8,8,50,0.002589940007533062,0.04298651878857361,0.06000014,0.33968144956258534,0.48,0.24
13,0.9,8,50,-0.00923294975280082,-0.12743290418271075,0.020000019999999997,0.4042285221057711,0.48,0.16
13,1.0,8,50,0.024797159470017965,0.3592584556134637,0.022424199999999988,0.29746358529571243,0.36,0.28
16,0.1,8,50,0.00031146280541999993,0.10684945103684482,-0.0121212,0.07217885423030765,0.36,0.18
16,0.2,8,50,0.00047712653586000017,0.14879200641243934,0.021818160000000003,0.07523996279424919,0.56,0.2
16,0.3,8,50,-0.00066452894586,-0.10067269404304627,0.04969691999999999,0.12468121235502966,0.68,0.06
16,0.4,8,50,-0.0012743363880000002,-0.07532232445235731,0.07757568,0.19361425277370467,0.76,0.06
