rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc,preview_relpath
0.8,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.68,14.310835,0.701998,0.674571,PDALCSDRYFFSEGRB,0.888889,0.111111,point_previews/task000000_mu000004_rho080_n1.png
0.9,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.765,15.178933,0.668877,0.635992,STURALIERSWSCSATMYRBISLIS,0.805556,0.194444,point_previews/task000000_mu000004_rho090_n0.png
0.9,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.765,15.178933,0.668877,0.635992,BEDSADSYPEAEMEETR,0.861111,0.138889,point_previews/task000000_mu000004_rho090_n1.png
1.0,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.85,16.0,0.63662,0.603355,RLETURMOVETGHLABEPEGRRUTTOE,0.833333,0.166667,point_previews/task000000_mu000004_rho100_n0.png
1.0,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.85,16.0,0.63662,0.603355,SBRRERELSERPTSNSSAKETRP,0.888889,0.111111,point_previews/task000000_mu000004_rho100_n1.png
0.1,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.085,5.059644,0.959381,1.907975,AEE,0.944444,0.055556,point_previews/task000001_mu000016_rho010_n0.png
0.1,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.085,5.059644,0.959381,1.907975,SHTRSLOMAEERES,0.888889,0.111111,point_previews/task000001_mu000016_rho010_n1.png
0.2,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.17,7.155418,0.919759,1.349142,PRUBAUERSKEMCGTRLSACEE,0.833333,0.166667,point_previews/task000001_mu000016_rho020_n0.png
0.2,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.17,7.155418,0.919759,1.349142,EREVEAAUTSAEORTRSCAABERT9,0.944444,0.055556,point_previews/task000001_mu000016_rho020_n1.png
0.3,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.255,8.763561,0.881116,1.10157,BEUCASZOSKEWOTSHESBRAOMURO,0.666667,0.333333,point_previews/task000001_mu000016_rho030_n0.png
0.3,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.255,8.763561,0.881116,1.10157,YRCIEABESROUNTSETASDINGHAYBAEES,0.805556,0.194444,point_previews/task000001_mu000016_rho030_n1.png
0.4,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.34,10.119289,0.843436,0.953987,BRUGSOLISTRASWOTSULS8DENGMYRRFOSIES,0.583333,0.416667,point_previews/task000001_mu000016_rho040_n0.png
0.4,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.34,10.119289,0.843436,0.953987,BRUDADZ391EKPMOTSHESBOANGMYRY2O6I,0.555556,0.444444,point_previews/task000001_mu000016_rho040_n1.png
0.5,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0,point_previews/task000001_mu000016_rho050_n0.png
0.5,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.425,11.313708,0.8067,0.853272,BRUEAOZFFSKEWOTSHESSBANOMURNTOSAEY,0.611111,0.388889,point_previews/task000001_mu000016_rho050_n1.png
0.6,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.51,12.393547,0.770893,0.778927,BRUCAOZINVSRPWOTSHLIBDZNGMURX2OKWES,0.472222,0.527778,point_previews/task000001_mu000016_rho060_n0.png
0.6,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.51,12.393547,0.770893,0.778927,,1.0,0.0,point_previews/task000001_mu000016_rho060_n1.png
0.7,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0,point_previews/task000001_mu000016_rho070_n0.png
0.7,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.595,13.38656,0.735998,0.721147,,1.0,0.0,point_previews/task000001_mu000016_rho070_n1.png
0.8,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0,point_previews/task000001_mu000016_rho080_n0.png
0.8,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.68,14.310835,0.701998,0.674571,BFUCAOZIPSKPWOTSHLIRDZNGRYRKTDOA,0.5,0.5,point_previews/task000001_mu000016_rho080_n1.png
0.9,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0,point_previews/task000001_mu000016_rho090_n0.png
0.9,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.765,15.178933,0.668877,0.635992,,1.0,0.0,point_previews/task000001_mu000016_rho090_n1.png
1.0,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.85,16.0,0.63662,0.603355,BEUCAOZIPYSRPWOTSHEISD2NGMVRXTOGAED,0.416667,0.583333,point_previews/task000001_mu000016_rho100_n0.png
1.0,16,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.85,16.0,0.63662,0.603355,,1.0,0.0,point_previews/task000001_mu000016_rho100_n1.png
0.1,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.085,5.059644,0.959381,1.907975,BPORADHICVSREWOTSHESBO2HORYRK7AGET,0.722222,0.277778,point_previews/task000002_mu000064_rho010_n0.png
0.1,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.085,5.059644,0.959381,1.907975,,1.0,0.0,point_previews/task000002_mu000064_rho010_n1.png
0.2,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.17,7.155418,0.919759,1.349142,JBFUCADZI9YSHPWOTSHESBDZNGNYRXFOSGIET,0.472222,0.527778,point_previews/task000002_mu000064_rho020_n0.png
0.2,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.17,7.155418,0.919759,1.349142,BEUGADZIPYSKRWOTSHLSBD2NGMVRXTOSSIEN,0.416667,0.583333,point_previews/task000002_mu000064_rho020_n1.png
0.3,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.255,8.763561,0.881116,1.10157,BFUCAOZIIYSKPWOTSHLSBDZNGMYRXTO6ME,0.361111,0.638889,point_previews/task000002_mu000064_rho030_n0.png
0.3,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.255,8.763561,0.881116,1.10157,BRUCAOZSIVSKPWOTSHL38DZNGMYRXTO64IER,0.305556,0.694444,point_previews/task000002_mu000064_rho030_n1.png
0.4,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.34,10.119289,0.843436,0.953987,BFUCAOZJOYSKPWOTSHL3BD2NGMYRK7OS4IEL,0.25,0.75,point_previews/task000002_mu000064_rho040_n0.png
0.4,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.34,10.119289,0.843436,0.953987,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7QSSIEI,0.138889,0.861111,point_previews/task000002_mu000064_rho040_n1.png
0.5,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.425,11.313708,0.8067,0.853272,BFUCAOZJ9YSKEWOTSHL3BD2NGMYRX7QSGIED,0.222222,0.777778,point_previews/task000002_mu000064_rho050_n0.png
0.5,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.425,11.313708,0.8067,0.853272,BFUCAOZJ9YSKPWOTSHL38D2NGMYRX7Q6SIE1,0.111111,0.888889,point_previews/task000002_mu000064_rho050_n1.png
0.6,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.51,12.393547,0.770893,0.778927,BFUCAOZJ9YSKPWOTSHL38D2NGMYRX7Q64IE1,0.083333,0.916667,point_previews/task000002_mu000064_rho060_n0.png
0.6,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.51,12.393547,0.770893,0.778927,BFUCAOZJ9YSKPWOTSHL3BD2NGMVRX7Q641E,0.138889,0.861111,point_previews/task000002_mu000064_rho060_n1.png
0.7,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.595,13.38656,0.735998,0.721147,BFUCAOZJ9YSKPWOTSHL3BD2NGMVRX7O6S1E,0.194444,0.805556,point_previews/task000002_mu000064_rho070_n0.png
0.7,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.595,13.38656,0.735998,0.721147,BFUCAOZJ9YSKPWOTSHL3802NGMVRX7O64IEI,0.138889,0.861111,point_previews/task000002_mu000064_rho070_n1.png
0.8,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.68,14.310835,0.701998,0.674571,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX70641E1,0.111111,0.888889,point_previews/task000002_mu000064_rho080_n0.png
0.8,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.68,14.310835,0.701998,0.674571,BFUCAOZJ9Y5KPWOTSHL38D2NGMYRX70641E,0.138889,0.861111,point_previews/task000002_mu000064_rho080_n1.png
0.9,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.765,15.178933,0.668877,0.635992,BFUCAOZJ9YSKPWOTSHLS8D2NGMYRX7Q641E1,0.138889,0.861111,point_previews/task000002_mu000064_rho090_n0.png
0.9,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.765,15.178933,0.668877,0.635992,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000002_mu000064_rho090_n1.png
1.0,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.85,16.0,0.63662,0.603355,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE,0.083333,0.916667,point_previews/task000002_mu000064_rho100_n0.png
1.0,64,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.85,16.0,0.63662,0.603355,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q441E1,0.111111,0.888889,point_previews/task000002_mu000064_rho100_n1.png
0.1,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.085,5.059644,0.959381,1.907975,BFUCAOZIIYSHPWOTSHLSBDZ2NGMYRX70641E1,0.305556,0.694444,point_previews/task000003_mu000256_rho010_n0.png
0.1,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.085,5.059644,0.959381,1.907975,BEUCAOZISYSKEWOTSHL3BD2NGMYRX7OSSIES,0.333333,0.666667,point_previews/task000003_mu000256_rho010_n1.png
0.2,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.17,7.155418,0.919759,1.349142,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7O641E1,0.111111,0.888889,point_previews/task000003_mu000256_rho020_n0.png
0.2,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.17,7.155418,0.919759,1.349142,BFUCAOZJ9YSKPWOTSHL38DZNGMVRX7Q641E1,0.111111,0.888889,point_previews/task000003_mu000256_rho020_n1.png
0.3,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.255,8.763561,0.881116,1.10157,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000003_mu000256_rho030_n0.png
0.3,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.255,8.763561,0.881116,1.10157,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000003_mu000256_rho030_n1.png
0.4,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.34,10.119289,0.843436,0.953987,BFUCAOZIPYSKPWOTSHLSBD2NGMVRX7O64IE1,0.194444,0.805556,point_previews/task000003_mu000256_rho040_n0.png
0.4,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.34,10.119289,0.843436,0.953987,BFUCAOZJ9YSKPWOTSHL3S8D2NGMYVRX7Q641E1,0.138889,0.861111,point_previews/task000003_mu000256_rho040_n1.png
0.5,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.425,11.313708,0.8067,0.853272,BFUCAOZJ9YSKPWOTSHLS8D2NGMVRX7QS64IE1,0.111111,0.888889,point_previews/task000003_mu000256_rho050_n0.png
0.5,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.425,11.313708,0.8067,0.853272,BFUCAOZI9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.083333,0.916667,point_previews/task000003_mu000256_rho050_n1.png
0.6,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.51,12.393547,0.770893,0.778927,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000003_mu000256_rho060_n0.png
0.6,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.51,12.393547,0.770893,0.778927,BFUCAOZI9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.083333,0.916667,point_previews/task000003_mu000256_rho060_n1.png
0.7,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.595,13.38656,0.735998,0.721147,BFUCAOZIPYSKPWOTSHL3S8D2NGMVRX7Q64IEI,0.166667,0.833333,point_previews/task000003_mu000256_rho070_n0.png
0.7,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.595,13.38656,0.735998,0.721147,BFUCAOZIPYSKPWOTSHL3SB8D2NGMVRX7GQ64IE1,0.194444,0.805556,point_previews/task000003_mu000256_rho070_n1.png
0.8,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.68,14.310835,0.701998,0.674571,BFUCAOZI9YSKPWOTSHL38D2NGMVRX7G64IE1,0.111111,0.888889,point_previews/task000003_mu000256_rho080_n0.png
0.8,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.68,14.310835,0.701998,0.674571,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000003_mu000256_rho080_n1.png
0.9,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.765,15.178933,0.668877,0.635992,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7GQ64IE1,0.083333,0.916667,point_previews/task000003_mu000256_rho090_n0.png
0.9,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.765,15.178933,0.668877,0.635992,BFUCAOZJI9YSKPWOTSHL3S8D2NGMVRX7GQ641E1,0.166667,0.833333,point_previews/task000003_mu000256_rho090_n1.png
1.0,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.85,16.0,0.63662,0.603355,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000003_mu000256_rho100_n0.png
1.0,256,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.85,16.0,0.63662,0.603355,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7GQ64IE1,0.083333,0.916667,point_previews/task000003_mu000256_rho100_n1.png
0.1,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.085,5.059644,0.959381,1.907975,BFUCAOZIPYSKPWOTSHLSBDZ2NGMYRX7OS4IE1,0.277778,0.722222,point_previews/task000004_mu001024_rho010_n0.png
0.1,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.085,5.059644,0.959381,1.907975,BFUCAOZI9YSKPWOTSHL3SBD2NGMYVRX7O64IE1,0.194444,0.805556,point_previews/task000004_mu001024_rho010_n1.png
0.2,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.17,7.155418,0.919759,1.349142,BFUCAOZISYSKPWOTSHL3S8D2NGMVRX7OS64IE1,0.194444,0.805556,point_previews/task000004_mu001024_rho020_n0.png
0.2,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.17,7.155418,0.919759,1.349142,BFUCAOZI9YSKPWOTSHL3SB8D2NGMYVRX7O64IE1,0.194444,0.805556,point_previews/task000004_mu001024_rho020_n1.png
0.3,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.255,8.763561,0.881116,1.10157,BFUCAOZJ9YSKPWOTSHL3S8D2NGMVRX7QS64IE1,0.111111,0.888889,point_previews/task000004_mu001024_rho030_n0.png
0.3,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.255,8.763561,0.881116,1.10157,BFUCAOZI9YSKPWOTSHL3S8D2NGMVRX7O64IEI,0.166667,0.833333,point_previews/task000004_mu001024_rho030_n1.png
0.4,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.34,10.119289,0.843436,0.953987,BFUCAOZJ9YSKPWOTSHL3S8D2NGMVRX7Q64IE1,0.083333,0.916667,point_previews/task000004_mu001024_rho040_n0.png
0.4,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.34,10.119289,0.843436,0.953987,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000004_mu001024_rho040_n1.png
0.5,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.425,11.313708,0.8067,0.853272,BFUCAOZJ9YSKPWOTSHLS8D2NGMVRX7Q64IE1,0.083333,0.916667,point_previews/task000004_mu001024_rho050_n0.png
0.5,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.425,11.313708,0.8067,0.853272,BFUCAOZJI9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.083333,0.916667,point_previews/task000004_mu001024_rho050_n1.png
0.6,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.51,12.393547,0.770893,0.778927,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000004_mu001024_rho060_n0.png
0.6,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.51,12.393547,0.770893,0.778927,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7GQ64IE1,0.083333,0.916667,point_previews/task000004_mu001024_rho060_n1.png
0.7,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.595,13.38656,0.735998,0.721147,BFUCAOZJ9YSKPWOTSHL38D2NGMVRX7Q64IE1,0.055556,0.944444,point_previews/task000004_mu001024_rho070_n0.png
0.7,1024,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.595,13.38656,0.735998,0.721147,BFUCAOZJIYSKPWOTSHL38D2NGMVRX7Q64IE1,0.083333,0.916667,point_previews/task000004_mu001024_rho070_n1.png
